"var","var_2","cor"
"365","saldo_cal34_max1m3","saldo_cal234_max1m3",0.93
"366","saldo_cal34_max1m3","por_mora30_max1m3",0.3716
"367","saldo_cal34_max1m3","saldo_mora30_max1m3",0.8531
"368","saldo_cal34_max1m3","por_cal234_max1m3",0.3972
"369","saldo_cal34_max1m3","por_mora30_1m",0.3567
"370","saldo_cal34_max1m3","saldo_mora30_1m",0.619
"371","saldo_cal34_max1m3","por_cal234_1m",0.3883
"372","saldo_cal34_max1m3","por_vig_1m",-0.3578
"373","saldo_cal34_max1m3","por_vig_min1m12",-0.384
"374","saldo_cal34_max1m3","por_cal0_min1m6",-0.3394
"375","saldo_cal34_max1m3","frec_calificacion_0_1m12",-0.3268
"376","saldo_cal34_max1m3","por_castigo_1m",0.3343
"377","saldo_cal34_max1m3","saldo_castigo_1m",0.6043
"378","saldo_cal34_max1m3","por_castigo_max1m12",0.3655
"379","saldo_cal34_max1m3","saldo_castigo_max1m12",0.5495
"380","saldo_cal34_max1m3","calificacion_max1m3",0.3962
"381","saldo_cal34_max1m3","saldo_cal234_1m",0.6936
"382","saldo_cal34_max1m3","por_mora30_max1m6",0.3773
"383","saldo_cal34_max1m3","saldo_mora30_max1m6",0.7275
"384","saldo_cal34_max1m3","frec_mora60_1m12",0.4023
"385","saldo_cal34_max1m3","frec_mora90_1m12",0.3924
"386","saldo_cal34_max1m3","frec_por_cal4_100_1m12",0.3039
"387","saldo_cal34_max1m3","por_mora30_max1m12",0.3813
"388","saldo_cal34_max1m3","saldo_mora30_max1m12",0.6221
"389","saldo_cal34_max1m3","frec_mora120_1m12",0.3813
"390","saldo_cal34_max1m3","provision",0.3155
"391","saldo_cal34_max1m3","frec_mora_0_1m12",-0.3632
"392","saldo_cal34_max1m3","frec_calificacion_34_1m12",0.3556
"393","saldo_cal34_max1m3","saldo_cal234_max1m6",0.7994
"394","saldo_cal34_max1m3","por_cal0_1m",-0.3651
"395","saldo_cal34_max1m3","por_mora_0_1m",-0.3291
"396","saldo_cal34_max1m3","frec_calificacion_4_1m12",0.3271
"397","saldo_cal34_max1m3","por_cal234_max1m6",0.388
